qid,category,query,model,gold_rank,top1_id,top1_score,recall@10,ndcg@10,mrr,top_score,separability
q01,exact_paraphrase,How do plants make their own food using sunlight?,F2LLM-v2-80M,2.0,p38,0.548,1.0,0.6309297535714575,0.5,0.5480334162712097,-0.011590003967285156
q01,exact_paraphrase,How do plants make their own food using sunlight?,Gecko-110m-en (f32),1.0,p01,0.7348,1.0,1.0,1.0,0.7348343133926392,0.2327185869216919
q01,exact_paraphrase,How do plants make their own food using sunlight?,Gecko-110m-en (int8),1.0,p01,0.7261,1.0,1.0,1.0,0.7260597944259644,0.23210564255714417
q01,exact_paraphrase,How do plants make their own food using sunlight?,all-MiniLM-L6-v2,1.0,p01,0.6717,1.0,1.0,1.0,0.6717255115509033,0.27651578187942505
q01,exact_paraphrase,How do plants make their own food using sunlight?,granite-embedding-97m-multilingual-r2,1.0,p01,0.9035,1.0,1.0,1.0,0.90352863073349,0.08069312572479248
q01,exact_paraphrase,How do plants make their own food using sunlight?,multilingual-e5-small,1.0,p01,0.886,1.0,1.0,1.0,0.8860390782356262,0.01368802785873413
q02,exact_paraphrase,When did humans first walk on the Moon?,F2LLM-v2-80M,1.0,p09,0.719,1.0,1.0,1.0,0.7190008163452148,0.49997901916503906
q02,exact_paraphrase,When did humans first walk on the Moon?,Gecko-110m-en (f32),1.0,p09,0.732,1.0,1.0,1.0,0.7319529056549072,0.19623416662216187
q02,exact_paraphrase,When did humans first walk on the Moon?,Gecko-110m-en (int8),1.0,p09,0.7276,1.0,1.0,1.0,0.727626383304596,0.2004910111427307
q02,exact_paraphrase,When did humans first walk on the Moon?,all-MiniLM-L6-v2,1.0,p09,0.7411,1.0,1.0,1.0,0.7411370277404785,0.48136430978775024
q02,exact_paraphrase,When did humans first walk on the Moon?,granite-embedding-97m-multilingual-r2,1.0,p09,0.943,1.0,1.0,1.0,0.9429848194122314,0.1597667932510376
q02,exact_paraphrase,When did humans first walk on the Moon?,multilingual-e5-small,1.0,p09,0.8893,1.0,1.0,1.0,0.8893005847930908,0.10812878608703613
q03,exact_paraphrase,What is the tallest mountain on Earth?,F2LLM-v2-80M,1.0,p19,0.7536,1.0,1.0,1.0,0.7536405324935913,0.12148815393447876
q03,exact_paraphrase,What is the tallest mountain on Earth?,Gecko-110m-en (f32),1.0,p19,0.7433,1.0,1.0,1.0,0.7433075904846191,0.09084677696228027
q03,exact_paraphrase,What is the tallest mountain on Earth?,Gecko-110m-en (int8),1.0,p19,0.7406,1.0,1.0,1.0,0.7405807971954346,0.08746707439422607
q03,exact_paraphrase,What is the tallest mountain on Earth?,all-MiniLM-L6-v2,1.0,p19,0.7026,1.0,1.0,1.0,0.7026214599609375,0.10641193389892578
q03,exact_paraphrase,What is the tallest mountain on Earth?,granite-embedding-97m-multilingual-r2,1.0,p19,0.9426,1.0,1.0,1.0,0.9426230788230896,0.06121164560317993
q03,exact_paraphrase,What is the tallest mountain on Earth?,multilingual-e5-small,1.0,p19,0.8799,1.0,1.0,1.0,0.8798900246620178,0.017719686031341553
q04,semantic,What organ pushes blood around the body?,F2LLM-v2-80M,1.0,p03,0.5628,1.0,1.0,1.0,0.5627909302711487,0.3409387469291687
q04,semantic,What organ pushes blood around the body?,Gecko-110m-en (f32),1.0,p03,0.6351,1.0,1.0,1.0,0.6350816488265991,0.09644663333892822
q04,semantic,What organ pushes blood around the body?,Gecko-110m-en (int8),1.0,p03,0.629,1.0,1.0,1.0,0.6289860010147095,0.09240907430648804
q04,semantic,What organ pushes blood around the body?,all-MiniLM-L6-v2,1.0,p03,0.6056,1.0,1.0,1.0,0.6055664420127869,0.37175601720809937
q04,semantic,What organ pushes blood around the body?,granite-embedding-97m-multilingual-r2,1.0,p03,0.9044,1.0,1.0,1.0,0.904428243637085,0.11457103490829468
q04,semantic,What organ pushes blood around the body?,multilingual-e5-small,1.0,p03,0.867,1.0,1.0,1.0,0.8670423626899719,0.05749577283859253
q05,semantic,Why is the planet heating up?,F2LLM-v2-80M,1.0,p08,0.511,1.0,1.0,1.0,0.5109770894050598,0.14095038175582886
q05,semantic,Why is the planet heating up?,Gecko-110m-en (f32),1.0,p08,0.6717,1.0,1.0,1.0,0.6717245578765869,0.12914681434631348
q05,semantic,Why is the planet heating up?,Gecko-110m-en (int8),1.0,p08,0.6727,1.0,1.0,1.0,0.6726903915405273,0.13435310125350952
q05,semantic,Why is the planet heating up?,all-MiniLM-L6-v2,1.0,p08,0.4936,1.0,1.0,1.0,0.4935758709907532,0.12126362323760986
q05,semantic,Why is the planet heating up?,granite-embedding-97m-multilingual-r2,1.0,p08,0.8509,1.0,1.0,1.0,0.8508996367454529,0.015312254428863525
q05,semantic,Why is the planet heating up?,multilingual-e5-small,1.0,p08,0.8833,1.0,1.0,1.0,0.8833019733428955,0.018520772457122803
q06,semantic,Which coding language was named after a comedy troupe?,F2LLM-v2-80M,1.0,p23,0.3855,1.0,1.0,1.0,0.38546860218048096,0.22613801062107086
q06,semantic,Which coding language was named after a comedy troupe?,Gecko-110m-en (f32),1.0,p23,0.6148,1.0,1.0,1.0,0.6148393154144287,0.1512492597103119
q06,semantic,Which coding language was named after a comedy troupe?,Gecko-110m-en (int8),1.0,p23,0.6088,1.0,1.0,1.0,0.6087573766708374,0.15727800130844116
q06,semantic,Which coding language was named after a comedy troupe?,all-MiniLM-L6-v2,1.0,p23,0.4455,1.0,1.0,1.0,0.44553765654563904,0.23259243369102478
q06,semantic,Which coding language was named after a comedy troupe?,granite-embedding-97m-multilingual-r2,1.0,p23,0.8628,1.0,1.0,1.0,0.8627747893333435,0.0941704511642456
q06,semantic,Which coding language was named after a comedy troupe?,multilingual-e5-small,1.0,p23,0.8338,1.0,1.0,1.0,0.8337895274162292,0.07246822118759155
q07,semantic,How can we generate electricity from the sun?,F2LLM-v2-80M,1.0,p38,0.6407,1.0,1.0,1.0,0.6406875848770142,0.23224279284477234
q07,semantic,How can we generate electricity from the sun?,Gecko-110m-en (f32),1.0,p38,0.5593,1.0,1.0,1.0,0.5592989325523376,0.008130669593811035
q07,semantic,How can we generate electricity from the sun?,Gecko-110m-en (int8),1.0,p38,0.5574,1.0,1.0,1.0,0.5574136972427368,0.013996720314025879
q07,semantic,How can we generate electricity from the sun?,all-MiniLM-L6-v2,1.0,p38,0.6247,1.0,1.0,1.0,0.6246522665023804,0.2292872965335846
q07,semantic,How can we generate electricity from the sun?,granite-embedding-97m-multilingual-r2,1.0,p38,0.8697,1.0,1.0,1.0,0.8696705102920532,0.037126779556274414
q07,semantic,How can we generate electricity from the sun?,multilingual-e5-small,1.0,p38,0.8958,1.0,1.0,1.0,0.895775318145752,0.042234957218170166
q08,partial_related,What does caffeine do to the body?,F2LLM-v2-80M,1.0,p49,0.696,1.0,1.0,1.0,0.6959846615791321,0.41185328364372253
q08,partial_related,What does caffeine do to the body?,Gecko-110m-en (f32),1.0,p49,0.8528,1.0,1.0,1.0,0.8527785539627075,0.42855846881866455
q08,partial_related,What does caffeine do to the body?,Gecko-110m-en (int8),1.0,p49,0.8519,1.0,1.0,1.0,0.8519420623779297,0.43682223558425903
q08,partial_related,What does caffeine do to the body?,all-MiniLM-L6-v2,1.0,p49,0.7199,1.0,1.0,1.0,0.7199438810348511,0.5073022693395615
q08,partial_related,What does caffeine do to the body?,granite-embedding-97m-multilingual-r2,1.0,p49,0.9383,1.0,1.0,1.0,0.9382913112640381,0.15316247940063477
q08,partial_related,What does caffeine do to the body?,multilingual-e5-small,1.0,p49,0.8889,1.0,1.0,1.0,0.8889106512069702,0.07431870698928833
q09,partial_related,Famous paintings by Italian artists,F2LLM-v2-80M,1.0,p43,0.5105,1.0,1.0,1.0,0.5105013251304626,0.34323254227638245
q09,partial_related,Famous paintings by Italian artists,Gecko-110m-en (f32),1.0,p43,0.4809,1.0,1.0,1.0,0.4808778762817383,0.07248583436012268
q09,partial_related,Famous paintings by Italian artists,Gecko-110m-en (int8),1.0,p43,0.477,1.0,1.0,1.0,0.4770233929157257,0.06817829608917236
q09,partial_related,Famous paintings by Italian artists,all-MiniLM-L6-v2,1.0,p43,0.5843,1.0,1.0,1.0,0.5843351483345032,0.4348602294921875
q09,partial_related,Famous paintings by Italian artists,granite-embedding-97m-multilingual-r2,1.0,p43,0.8568,1.0,1.0,1.0,0.8567765951156616,0.10026109218597412
q09,partial_related,Famous paintings by Italian artists,multilingual-e5-small,1.0,p43,0.8628,1.0,1.0,1.0,0.8628149032592773,0.0760730504989624
q10,partial_related,Tall mountains in Africa,F2LLM-v2-80M,1.0,p47,0.6365,1.0,1.0,1.0,0.6364593505859375,0.28901827335357666
q10,partial_related,Tall mountains in Africa,Gecko-110m-en (f32),1.0,p47,0.5978,1.0,1.0,1.0,0.597770631313324,0.07443803548812866
q10,partial_related,Tall mountains in Africa,Gecko-110m-en (int8),1.0,p47,0.596,1.0,1.0,1.0,0.5960241556167603,0.08431446552276611
q10,partial_related,Tall mountains in Africa,all-MiniLM-L6-v2,1.0,p47,0.6934,1.0,1.0,1.0,0.6934102773666382,0.1862337589263916
q10,partial_related,Tall mountains in Africa,granite-embedding-97m-multilingual-r2,1.0,p47,0.8926,1.0,1.0,1.0,0.8926416635513306,0.06459403038024902
q10,partial_related,Tall mountains in Africa,multilingual-e5-small,1.0,p47,0.8869,1.0,1.0,1.0,0.8869233727455139,0.04546231031417847
q11,partial_related,What is the longest river in the world?,F2LLM-v2-80M,1.0,p48,0.7229,1.0,0.9638614719361266,1.0,0.7228593826293945,0.28983616828918457
q11,partial_related,What is the longest river in the world?,Gecko-110m-en (f32),1.0,p48,0.8097,1.0,0.9220433016555235,1.0,0.8097219467163086,0.22339463233947754
q11,partial_related,What is the longest river in the world?,Gecko-110m-en (int8),1.0,p48,0.8098,1.0,0.9220433016555235,1.0,0.8098104000091553,0.22376900911331177
q11,partial_related,What is the longest river in the world?,all-MiniLM-L6-v2,1.0,p48,0.679,1.0,0.894632015448076,1.0,0.6789565086364746,0.2537245750427246
q11,partial_related,What is the longest river in the world?,granite-embedding-97m-multilingual-r2,1.0,p48,0.9326,1.0,0.9467676761267002,1.0,0.9326049089431763,0.0916898250579834
q11,partial_related,What is the longest river in the world?,multilingual-e5-small,1.0,p48,0.8884,1.0,0.9326285831096983,1.0,0.8883788585662842,0.07450145483016968
q12,no_match,Best recipe for chocolate chip cookies,F2LLM-v2-80M,,p22,0.0988,,,,0.09876136481761932,
q12,no_match,Best recipe for chocolate chip cookies,Gecko-110m-en (f32),,p44,0.2839,,,,0.2838810682296753,
q12,no_match,Best recipe for chocolate chip cookies,Gecko-110m-en (int8),,p44,0.2796,,,,0.2795746624469757,
q12,no_match,Best recipe for chocolate chip cookies,all-MiniLM-L6-v2,,p50,0.1334,,,,0.1333818882703781,
q12,no_match,Best recipe for chocolate chip cookies,granite-embedding-97m-multilingual-r2,,p33,0.7362,,,,0.7362128496170044,
q12,no_match,Best recipe for chocolate chip cookies,multilingual-e5-small,,p33,0.7675,,,,0.7675327062606812,
q13,no_match,How do I change a flat car tire?,F2LLM-v2-80M,,p16,0.1475,,,,0.1475284993648529,
q13,no_match,How do I change a flat car tire?,Gecko-110m-en (f32),,p37,0.4643,,,,0.4643280506134033,
q13,no_match,How do I change a flat car tire?,Gecko-110m-en (int8),,p37,0.4547,,,,0.4546912908554077,
q13,no_match,How do I change a flat car tire?,all-MiniLM-L6-v2,,p05,0.1079,,,,0.10792490839958191,
q13,no_match,How do I change a flat car tire?,granite-embedding-97m-multilingual-r2,,p37,0.7395,,,,0.7395073771476746,
q13,no_match,How do I change a flat car tire?,multilingual-e5-small,,p37,0.7848,,,,0.7847542762756348,
q14,no_match,What is the current stock price of Apple?,F2LLM-v2-80M,,p16,0.1392,,,,0.13920408487319946,
q14,no_match,What is the current stock price of Apple?,Gecko-110m-en (f32),,p22,0.3871,,,,0.38711434602737427,
q14,no_match,What is the current stock price of Apple?,Gecko-110m-en (int8),,p22,0.3825,,,,0.3824867010116577,
q14,no_match,What is the current stock price of Apple?,all-MiniLM-L6-v2,,p25,0.132,,,,0.13199269771575928,
q14,no_match,What is the current stock price of Apple?,granite-embedding-97m-multilingual-r2,,p10,0.7444,,,,0.7443922758102417,
q14,no_match,What is the current stock price of Apple?,multilingual-e5-small,,p25,0.7411,,,,0.7410643100738525,
q15,no_match,Explain the rules of cricket batting,F2LLM-v2-80M,,p35,0.2102,,,,0.2102244794368744,
q15,no_match,Explain the rules of cricket batting,Gecko-110m-en (f32),,p25,0.4007,,,,0.4006626009941101,
q15,no_match,Explain the rules of cricket batting,Gecko-110m-en (int8),,p25,0.3976,,,,0.3976457118988037,
q15,no_match,Explain the rules of cricket batting,all-MiniLM-L6-v2,,p35,0.23,,,,0.23003101348876953,
q15,no_match,Explain the rules of cricket batting,granite-embedding-97m-multilingual-r2,,p35,0.7658,,,,0.765845775604248,
q15,no_match,Explain the rules of cricket batting,multilingual-e5-small,,p35,0.8144,,,,0.8144220113754272,
q16,no_match,How do I house-train a puppy?,F2LLM-v2-80M,,p03,0.1745,,,,0.17451399564743042,
q16,no_match,How do I house-train a puppy?,Gecko-110m-en (f32),,p02,0.4444,,,,0.4443508982658386,
q16,no_match,How do I house-train a puppy?,Gecko-110m-en (int8),,p02,0.4381,,,,0.4381342828273773,
q16,no_match,How do I house-train a puppy?,all-MiniLM-L6-v2,,p31,0.1352,,,,0.13519412279129028,
q16,no_match,How do I house-train a puppy?,granite-embedding-97m-multilingual-r2,,p24,0.7256,,,,0.7256070375442505,
q16,no_match,How do I house-train a puppy?,multilingual-e5-small,,p07,0.7954,,,,0.7954012751579285,
q17,edge_negation,A programming language that is not Python,F2LLM-v2-80M,2.0,p23,0.6765,1.0,0.6309297535714575,0.5,0.6765184998512268,-0.3610278367996216
q17,edge_negation,A programming language that is not Python,Gecko-110m-en (f32),2.0,p23,0.599,1.0,0.6309297535714575,0.5,0.5989975929260254,-0.07435119152069092
q17,edge_negation,A programming language that is not Python,Gecko-110m-en (int8),2.0,p23,0.5935,1.0,0.6309297535714575,0.5,0.5934727191925049,-0.06850922107696533
q17,edge_negation,A programming language that is not Python,all-MiniLM-L6-v2,2.0,p23,0.7262,1.0,0.6309297535714575,0.5,0.7261707186698914,-0.3709702491760254
q17,edge_negation,A programming language that is not Python,granite-embedding-97m-multilingual-r2,2.0,p23,0.9187,1.0,0.6309297535714575,0.5,0.9186524748802185,-0.06012469530105591
q17,edge_negation,A programming language that is not Python,multilingual-e5-small,2.0,p23,0.8689,1.0,0.6309297535714575,0.5,0.8688876628875732,-0.04568403959274292
q18,edge_negation,Common animals that are not mammals,F2LLM-v2-80M,1.0,p41,0.2023,1.0,0.8519590445170673,1.0,0.20225867629051208,0.06674782931804657
q18,edge_negation,Common animals that are not mammals,Gecko-110m-en (f32),1.0,p40,0.3734,1.0,0.9010126104210695,1.0,0.37342020869255066,0.026852846145629883
q18,edge_negation,Common animals that are not mammals,Gecko-110m-en (int8),1.0,p40,0.3694,1.0,0.9010126104210695,1.0,0.36937466263771057,0.023941367864608765
q18,edge_negation,Common animals that are not mammals,all-MiniLM-L6-v2,1.0,p41,0.3273,0.6666666666666666,0.7653606369886217,1.0,0.3272744417190552,0.18519124388694763
q18,edge_negation,Common animals that are not mammals,granite-embedding-97m-multilingual-r2,1.0,p41,0.7984,1.0,0.9674679834891693,1.0,0.7983938455581665,0.03361046314239502
q18,edge_negation,Common animals that are not mammals,multilingual-e5-small,1.0,p41,0.8405,1.0,1.0,1.0,0.8404875993728638,0.032978951930999756
